id,value
1.Pitbull - INVESTIGAT,36
1.Pitbull - QUARANTINE,130
2.BOXER - QUARANTINE,1
2.BOXER - QUARANTINE,1
5.Catahoula - INVESTIGAT,4
5.Catahoula - QUARANTINE,88
6.RAT TERRIER - INVESTIGAT,3
3.BOXER - QUARANTINE,1
3.BOXER - QUARANTINE,1
4.LABRADOR RETR - INVESTIGAT,6
4.LABRADOR RETR -  QUARANTINE,83
3.GermShepgerd - INVESTIGAT,12
3.GermShepgerd -  QUARANTINE,39
7.SCHNAUZER MIN - INVESTIGAT,2
8.STAFFORDSHIRE - INVESTIGAT,2
9.BORDER COLLIE - INVESTIGAT,2
10.CHINESE SHARPEI - INVESTIGAT,2
4.BOXER - QUARANTINE,1
4.BOXER - QUARANTINE,1
45.Domstic cat- INVESTIGAT,21
45.Domstic cat - QUARANTINE,132